#Compiled by SeeTweet 2.2.0.
#Search performed at 2018-11-02 19:45
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: діла
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2018,11,02,23,34,48,knowncity,київ,unk,київ,UA,1037702865790357504,1058502718623543301,0,1
Fri,2018,11,02,14,56,41,knowncity,одеса,unk,одеса,UA,824380640766345222,1058372330781659136,0,1
Fri,2018,11,02,12,29,10,knowncity,кагарлык,unk,кагарлык,UA,787897552024825856,1058335205440806913,0,1
Thu,2018,11,01,10,14,51,knowncity,харьков,unk,харьков,UA,70894580,1057939015754829824,0,1
Wed,2018,10,31,21,21,47,knowncity,тернопіль,unk,тернопіль,UA,2166930012,1057744465685815296,0,1
Wed,2018,10,31,20,38,12,knowncity,київ,unk,київ,UA,939622942610214912,1057733500416282624,0,1
Wed,2018,10,31,19,51,14,knowncity,львів,unk,львів,UA,821749135082659841,1057721677142986752,0,1
Wed,2018,10,31,08,47,18,knowncity,київ,unk,київ,UA,2476053370,1057554596158169088,0,1
Tue,2018,10,30,11,12,01,knowncity,киев,unk,киев,UA,43659703,1057228627346145281,0,1
Mon,2018,10,29,15,29,29,knowncity,одеса,unk,одеса,UA,824380640766345222,1056931033638203392,0,1
Wed,2018,10,24,12,50,55,knowncity,львів,unk,львів,UA,946485695086030848,1055079186346532864,0,1
Wed,2018,10,24,04,26,50,knowncity,киев,unk,киев,UA,267723110,1054952329760387073,0,1
Tue,2018,10,23,20,39,26,knowncity,полтава,unk,полтава,UA,121430945,1054834706045435909,0,1
Fri,2018,11,02,23,34,48,knowncity,київ,unk,київ,UA,1037702865790357504,1058502718623543301,1,1
Fri,2018,11,02,14,56,41,knowncity,одеса,unk,одеса,UA,824380640766345222,1058372330781659136,1,1
Fri,2018,11,02,12,29,10,knowncity,кагарлык,unk,кагарлык,UA,787897552024825856,1058335205440806913,1,1
Thu,2018,11,01,10,14,51,knowncity,харьков,unk,харьков,UA,70894580,1057939015754829824,1,1
Wed,2018,10,31,21,21,47,knowncity,тернопіль,unk,тернопіль,UA,2166930012,1057744465685815296,1,1
Wed,2018,10,31,20,38,12,knowncity,київ,unk,київ,UA,939622942610214912,1057733500416282624,1,1
Wed,2018,10,31,19,51,14,knowncity,львів,unk,львів,UA,821749135082659841,1057721677142986752,1,1
